Процессор Intel Core i3-7100 3.9GHz/8GT/s/3MB (BX80677I37100) s1151 BOX
Материнская плата Gigabyte GA-Z270X-Gaming 8 (s1151, Intel Z270, PCI-Ex16)
Материнская плата MSI H270 Tomahawk Arctic (s1151, Intel H270, PCI-Ex16)
Материнская плата Gigabyte Z370 AORUS Gaming 3 (s1151, Intel Z370, PCI-Ex16)
Материнская плата Asus Z97-K (s1150, Intel Z97, PCI-Ex16)
Материнская плата MSI Z170 Krait Gaming (s1151, Intel Z170, PCI-Ex16)
Материнская плата Gigabyte GA-C1037UN (Intel Celeron 1037U, SoC, PCI)
Материнская плата Asus X99-E WS/USB 3.1 (s2011-3, Intel X99, PCI-Ex16)
Материнская плата Gigabyte GA-H110M-DS2V (s1151, Intel H110, PCI-Ex16)
Материнская плата Gigabyte GA-H110M-S2PH DDR3 (s1151, Intel H110, PCI-Ex16)
Материнская плата MSI X99A XPower Gaming Titanium (s2011-3, Intel X99, PCI-Ex16)
Материнская плата MSI H110M PRO-VDL (s1151, Intel H110, PCI-Ex16)
Материнская плата ASRock FM2A58+ BTC (sFM2/FM2+, AMD A58, PCI-Ex16, PCI)
Материнская плата ASRock FM2A78M PRO3+ (sFM2/FM2+, AMD A78, PCI-Ex16)
Материнская плата ASRock FATAL1TY Z270 Professional Gaming i7 (s1151, Intel Z270, PCI-Ex16)
Материнская плата Gigabyte GA-B250M-HD3 (s1151, Intel B250, PCI-Ex16)
Материнская плата Gigabyte GA-X170-WS ECC (s1151, Intel C236, PCI-Ex16)
Материнская плата MSI B350M PRO-VH Plus (sAM4, AMD B350, PCI-Ex16)
Материнская плата MSI A320M Pro-VHL (sAM4, AMD A320, PCI-Ex16)
Материнская плата MSI A320M Pro-VD (sAM4, AMD A320, PCI-Ex16)
Материнская плата MSI Z370 Gaming Plus (s1151, Intel Z370, PCI-Ex16)
Материнская плата MSI Z370 Gaming Pro Carbon AC (s1151, Intel Z370, PCI-Ex16)
Материнская плата MSI Z370 Gaming Pro Carbon (s1151, Intel Z370, PCI-Ex16)
Материнская плата MSI Z370 Godlike Gaming (s1151, Intel Z370, PCI-Ex16)
Материнская плата MSI Z370M Gaming Pro AC (s1151, Intel Z370, PCI-Ex16)
